AMR ID,IPC IP address,Switch IP ,PLC IP address 
AMR 39,10.191.120.6,10.191.120.7,10.191.120.8
AMR 32,10.191.120.9,10.191.120.10,10.191.120.11
AMR 48,10.191.120.12,10.191.120.13,10.191.120.14
AMR 27,10.191.120.15,10.191.120.16,10.191.120.17
AMR 30,10.191.120.18,10.191.120.19,10.191.120.20
AMR 42,10.191.120.21,10.191.120.22,10.191.120.23
AMR 47,10.191.120.25,10.191.120.26,10.191.120.27
AMR 45,10.191.120.28,10.191.120.29,10.191.120.30
AMR 46,10.191.120.31,10.191.120.32,10.191.120.33
AMR 50,10.191.120.34,10.191.120.35,10.191.120.36
AMR 28,10.191.120.134,10.191.120.135,10.191.120.136
AMR 43,10.191.120.137,10.191.120.138,10.191.120.139
AMR 38,10.191.120.140,10.191.120.141,10.191.120.142
AMR 44,10.191.120.143,10.191.120.144,10.191.120.145
AMR 29,10.191.120.146,10.191.120.147,10.191.120.148
AMR 49,10.191.120.149,10.191.120.150,10.191.120.151
AMR 31,10.191.120.152,10.191.120.153,10.191.120.154
AMR 37,10.191.120.155,10.191.120.156,10.191.120.157
AMR 41,10.191.120.158,10.191.120.159,10.191.120.160
AMR 40,10.191.120.161,10.191.120.162,10.191.120.163
