AMR ID,Source File,MAC,Switch IP,IPC IP,PLC IP
AMR 27,config_SCALANCE_S600_AMR_27.conf,74:fc:45:5c:95:8e,10.191.120.16,10.191.120.15,10.191.120.17
AMR 28,config_SCALANCE_S600_AMR_28.conf,74:fc:45:5d:37:45,10.191.120.135,10.191.120.134,10.191.120.136
AMR 29,config_SCALANCE_S600_AMR_29.conf,74:fc:45:5a:24:87,10.191.120.147,10.191.120.146,10.191.120.148
AMR 30,config_SCALANCE_S600_AMR_30.conf,74:fc:45:59:a4:18,10.191.120.19,10.191.120.18,10.191.120.20
AMR 31,config_SCALANCE_S600_AMR_31.conf,74:fc:45:59:a6:6a,10.191.120.153,10.191.120.152,10.191.120.154
AMR 32,config_SCALANCE_S600_AMR_32.conf,74:fc:45:5c:96:4e,10.191.120.10,10.191.120.9,10.191.120.11
AMR 37,config_SCALANCE_S600_AMR_37.conf,74:fc:45:5b:7f:bf,10.191.120.156,10.191.120.155,10.191.120.157
AMR 38,config_SCALANCE_S600_AMR_38.conf,74:fc:45:59:a6:a2,10.191.120.141,10.191.120.140,10.191.120.142
AMR 39,config_SCALANCE_S600_AMR_39.conf,74:fc:45:59:a4:30,10.191.120.7,10.191.120.6,10.191.120.8
AMR 40,config_SCALANCE_S600_AMR_40.conf,74:fc:45:59:a4:48,10.191.120.162,10.191.120.161,10.191.120.163
AMR 41,config_SCALANCE_S600_AMR_41.conf,74:fc:45:5a:24:8f,10.191.120.159,10.191.120.158,10.191.120.160
AMR 42,config_SCALANCE_S600_AMR_42.conf,74:fc:45:59:a6:3a,10.191.120.22,10.191.120.21,10.191.120.23
AMR 43,config_SCALANCE_S600_AMR_43.conf,74:fc:45:59:a6:8a,10.191.120.138,10.191.120.137,10.191.120.139
AMR 44,config_SCALANCE_S600_AMR_44.conf,74:fc:45:5d:37:7d,10.191.120.144,10.191.120.143,10.191.120.145
AMR 45,config_SCALANCE_S600_AMR_45.conf,74:fc:45:5c:95:13,10.191.120.29,10.191.120.28,10.191.120.30
AMR 46,config_SCALANCE_S600_AMR_46.conf,74:fc:45:59:a3:78,10.191.120.32,10.191.120.31,10.191.120.33
AMR 47,config_SCALANCE_S600_AMR_47.conf,74:fc:45:5c:96:1e,10.191.120.26,10.191.120.25,10.191.120.27
AMR 48,config_SCALANCE_S600_AMR_48.conf,74:fc:45:5c:95:60,10.191.120.13,10.191.120.12,10.191.120.14
AMR 49,config_SCALANCE_S600_AMR_49.conf,74:fc:45:5a:23:77,10.191.120.150,10.191.120.149,10.191.120.151
AMR 50,config_SCALANCE_S600_AMR_50.conf,74:fc:45:59:a3:f8,10.191.120.35,10.191.120.34,10.191.120.36
